"subjects" "activity" "variable" "mean"
"1508" 12 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.687929868653846
"1509" 12 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.451614324565217
"1510" 12 "SITTING" "fBodyAccJerk_mean()_Z" -0.975551564117647
"1511" 12 "STANDING" "fBodyAccJerk_mean()_Z" -0.971122527868852
"1512" 12 "LAYING" "fBodyAccJerk_mean()_Z" -0.967149695166667
"1513" 13 "WALKING" "fBodyAccJerk_mean()_Z" -0.342263716894737
"1514" 13 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.631496434363636
"1515" 13 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.276138039897872
"1516" 13 "SITTING" "fBodyAccJerk_mean()_Z" -0.985261204693878
"1517" 13 "STANDING" "fBodyAccJerk_mean()_Z" -0.98460855877193
"1518" 13 "LAYING" "fBodyAccJerk_mean()_Z" -0.980994601935484
"1519" 14 "WALKING" "fBodyAccJerk_mean()_Z" -0.415899179152542
"1520" 14 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.264008468333333
"1521" 14 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.0248789805888889
"1522" 14 "SITTING" "fBodyAccJerk_mean()_Z" -0.97275196962963
"1523" 14 "STANDING" "fBodyAccJerk_mean()_Z" -0.966718434333333
"1524" 14 "LAYING" "fBodyAccJerk_mean()_Z" -0.968593195686275
"1525" 15 "WALKING" "fBodyAccJerk_mean()_Z" -0.648905254074074
"1526" 15 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.714554172708333
"1527" 15 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.345376541261905
"1528" 15 "SITTING" "fBodyAccJerk_mean()_Z" -0.984908418474576
"1529" 15 "STANDING" "fBodyAccJerk_mean()_Z" -0.982632302830189
"1530" 15 "LAYING" "fBodyAccJerk_mean()_Z" -0.97477568375
"1531" 16 "WALKING" "fBodyAccJerk_mean()_Z" -0.422332394117647
"1532" 16 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.565220840588235
"1533" 16 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.241974080021277
"1534" 16 "SITTING" "fBodyAccJerk_mean()_Z" -0.981178036811594
"1535" 16 "STANDING" "fBodyAccJerk_mean()_Z" -0.986091891538462
"1536" 16 "LAYING" "fBodyAccJerk_mean()_Z" -0.985544945285714
"1537" 17 "WALKING" "fBodyAccJerk_mean()_Z" -0.523427055737705
"1538" 17 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.633017707916667
"1539" 17 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.498668458043478
"1540" 17 "SITTING" "fBodyAccJerk_mean()_Z" -0.9888280653125
"1541" 17 "STANDING" "fBodyAccJerk_mean()_Z" -0.989563633076923
"1542" 17 "LAYING" "fBodyAccJerk_mean()_Z" -0.98038005915493
"1543" 18 "WALKING" "fBodyAccJerk_mean()_Z" -0.601147246785714
"1544" 18 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.736149274137931
"1545" 18 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.622135895090909
"1546" 18 "SITTING" "fBodyAccJerk_mean()_Z" -0.988689671578947
"1547" 18 "STANDING" "fBodyAccJerk_mean()_Z" -0.986265653561644
"1548" 18 "LAYING" "fBodyAccJerk_mean()_Z" -0.989116865846154
"1549" 19 "WALKING" "fBodyAccJerk_mean()_Z" -0.129367902596154
"1550" 19 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.3806571232
"1551" 19 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" 0.0595905768717949
"1552" 19 "SITTING" "fBodyAccJerk_mean()_Z" -0.98398048
"1553" 19 "STANDING" "fBodyAccJerk_mean()_Z" -0.983463295479452
"1554" 19 "LAYING" "fBodyAccJerk_mean()_Z" -0.986506488795181
"1555" 20 "WALKING" "fBodyAccJerk_mean()_Z" -0.34599447627451
"1556" 20 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.492755895098039
"1557" 20 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.356220245355556
"1558" 20 "SITTING" "fBodyAccJerk_mean()_Z" -0.973211461363636
"1559" 20 "STANDING" "fBodyAccJerk_mean()_Z" -0.952741107945206
"1560" 20 "LAYING" "fBodyAccJerk_mean()_Z" -0.982876212058823
"1561" 21 "WALKING" "fBodyAccJerk_mean()_Z" -0.405700157884615
"1562" 21 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.519815170851064
"1563" 21 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.196838264546667
"1564" 21 "SITTING" "fBodyAccJerk_mean()_Z" -0.983434322941176
"1565" 21 "STANDING" "fBodyAccJerk_mean()_Z" -0.974780645393258
"1566" 21 "LAYING" "fBodyAccJerk_mean()_Z" -0.981630805333333
"1567" 22 "WALKING" "fBodyAccJerk_mean()_Z" -0.281973435652174
"1568" 22 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.414448875714286
"1569" 22 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.419534253611111
"1570" 22 "SITTING" "fBodyAccJerk_mean()_Z" -0.975330718709677
"1571" 22 "STANDING" "fBodyAccJerk_mean()_Z" -0.977567430952381
"1572" 22 "LAYING" "fBodyAccJerk_mean()_Z" -0.970918941666667
"1573" 23 "WALKING" "fBodyAccJerk_mean()_Z" -0.0572021324745763
"1574" 23 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.346605238039216
"1575" 23 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" 0.157775692377778
"1576" 23 "SITTING" "fBodyAccJerk_mean()_Z" -0.972656226029412
"1577" 23 "STANDING" "fBodyAccJerk_mean()_Z" -0.969610229705882
"1578" 23 "LAYING" "fBodyAccJerk_mean()_Z" -0.982415511805556
"1579" 24 "WALKING" "fBodyAccJerk_mean()_Z" -0.469920224310345
"1580" 24 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.48339098779661
"1581" 24 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.250000183381818
"1582" 24 "SITTING" "fBodyAccJerk_mean()_Z" -0.981971300147059
"1583" 24 "STANDING" "fBodyAccJerk_mean()_Z" -0.974170468405797
"1584" 24 "LAYING" "fBodyAccJerk_mean()_Z" -0.981549689583333
"1585" 25 "WALKING" "fBodyAccJerk_mean()_Z" -0.659286392837838
"1586" 25 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.793266971230769
"1587" 25 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.686843959310345
"1588" 25 "SITTING" "fBodyAccJerk_mean()_Z" -0.986326396461538
"1589" 25 "STANDING" "fBodyAccJerk_mean()_Z" -0.984832251216216
"1590" 25 "LAYING" "fBodyAccJerk_mean()_Z" -0.962632674520548
"1591" 26 "WALKING" "fBodyAccJerk_mean()_Z" -0.398673189830508
"1592" 26 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.639741264909091
"1593" 26 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.3601146078
"1594" 26 "SITTING" "fBodyAccJerk_mean()_Z" -0.987989982948718
"1595" 26 "STANDING" "fBodyAccJerk_mean()_Z" -0.984563921216216
"1596" 26 "LAYING" "fBodyAccJerk_mean()_Z" -0.987308252236842
"1597" 27 "WALKING" "fBodyAccJerk_mean()_Z" -0.382617091578947
"1598" 27 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.608544241568627
"1599" 27 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.343626396295455
"1600" 27 "SITTING" "fBodyAccJerk_mean()_Z" -0.987087721142857
"1601" 27 "STANDING" "fBodyAccJerk_mean()_Z" -0.9851113755
"1602" 27 "LAYING" "fBodyAccJerk_mean()_Z" -0.988033129054054
"1603" 28 "WALKING" "fBodyAccJerk_mean()_Z" -0.498754491111111
"1604" 28 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.587813565294118
"1605" 28 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.365287434717391
"1606" 28 "SITTING" "fBodyAccJerk_mean()_Z" -0.972939551944444
"1607" 28 "STANDING" "fBodyAccJerk_mean()_Z" -0.964751238734177
"1608" 28 "LAYING" "fBodyAccJerk_mean()_Z" -0.970251565375
"1609" 29 "WALKING" "fBodyAccJerk_mean()_Z" -0.394877826981132
"1610" 29 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.646198587755102
"1611" 29 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.411173451875
"1612" 29 "SITTING" "fBodyAccJerk_mean()_Z" -0.988470241
"1613" 29 "STANDING" "fBodyAccJerk_mean()_Z" -0.988541579384615
"1614" 29 "LAYING" "fBodyAccJerk_mean()_Z" -0.992018447826087
"1615" 30 "WALKING" "fBodyAccJerk_mean()_Z" -0.467030710153846
"1616" 30 "WALKING_UPSTAIRS" "fBodyAccJerk_mean()_Z" -0.737803881230769
"1617" 30 "WALKING_DOWNSTAIRS" "fBodyAccJerk_mean()_Z" -0.399688694032258
"1618" 30 "SITTING" "fBodyAccJerk_mean()_Z" -0.985978315322581
"1619" 30 "STANDING" "fBodyAccJerk_mean()_Z" -0.962892627966102
"1620" 30 "LAYING" "fBodyAccJerk_mean()_Z" -0.975632420428571
"1621" 1 "WALKING" "fBodyAccJerk_std()_X" -0.133586606326316
"1622" 1 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.461907025849057
"1623" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.0863278966402041
"1624" 1 "SITTING" "fBodyAccJerk_std()_X" -0.987492994468085
"1625" 1 "STANDING" "fBodyAccJerk_std()_X" -0.995073759245283
"1626" 1 "LAYING" "fBodyAccJerk_std()_X" -0.9641607086
"1627" 2 "WALKING" "fBodyAccJerk_std()_X" -0.31431306340678
"1628" 2 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.365415441458333
"1629" 2 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" 0.0499590624829787
"1630" 2 "SITTING" "fBodyAccJerk_std()_X" -0.989459107391304
"1631" 2 "STANDING" "fBodyAccJerk_std()_X" -0.983007923703704
"1632" 2 "LAYING" "fBodyAccJerk_std()_X" -0.987250255833333
"1633" 3 "WALKING" "fBodyAccJerk_std()_X" -0.296596633103448
"1634" 3 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.486446509661017
"1635" 3 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.165442898685714
"1636" 3 "SITTING" "fBodyAccJerk_std()_X" -0.976283534807692
"1637" 3 "STANDING" "fBodyAccJerk_std()_X" -0.960570921803279
"1638" 3 "LAYING" "fBodyAccJerk_std()_X" -0.983122615967742
"1639" 4 "WALKING" "fBodyAccJerk_std()_X" -0.29732607245
"1640" 4 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.396762584807692
"1641" 4 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.208250062317778
"1642" 4 "SITTING" "fBodyAccJerk_std()_X" -0.9787769122
"1643" 4 "STANDING" "fBodyAccJerk_std()_X" -0.975706723571429
"1644" 4 "LAYING" "fBodyAccJerk_std()_X" -0.980079292592593
"1645" 5 "WALKING" "fBodyAccJerk_std()_X" -0.3213903195
"1646" 5 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.22532784293617
"1647" 5 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" 0.011055933212766
"1648" 5 "SITTING" "fBodyAccJerk_std()_X" -0.976530547272727
"1649" 5 "STANDING" "fBodyAccJerk_std()_X" -0.965778920714286
"1650" 5 "LAYING" "fBodyAccJerk_std()_X" -0.985625270384615
"1651" 6 "WALKING" "fBodyAccJerk_std()_X" -0.19269469414386
"1652" 6 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.186815074235294
"1653" 6 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" 0.0886515099394167
"1654" 6 "SITTING" "fBodyAccJerk_std()_X" -0.971488767454545
"1655" 6 "STANDING" "fBodyAccJerk_std()_X" -0.975235677719298
"1656" 6 "LAYING" "fBodyAccJerk_std()_X" -0.968619159473684
"1657" 7 "WALKING" "fBodyAccJerk_std()_X" -0.365314790947368
"1658" 7 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.426974025686275
"1659" 7 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.00426289144680851
"1660" 7 "SITTING" "fBodyAccJerk_std()_X" -0.984026344375
"1661" 7 "STANDING" "fBodyAccJerk_std()_X" -0.978729082830189
"1662" 7 "LAYING" "fBodyAccJerk_std()_X" -0.983560175384615
"1663" 8 "WALKING" "fBodyAccJerk_std()_X" -0.271448185291667
"1664" 8 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.24733661795122
"1665" 8 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" 0.172658982065789
"1666" 8 "SITTING" "fBodyAccJerk_std()_X" -0.986913610652174
"1667" 8 "STANDING" "fBodyAccJerk_std()_X" -0.990414086851852
"1668" 8 "LAYING" "fBodyAccJerk_std()_X" -0.975959911481481
"1669" 9 "WALKING" "fBodyAccJerk_std()_X" -0.170228340134423
"1670" 9 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.327421989591837
"1671" 9 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" 0.00938224337142857
"1672" 9 "SITTING" "fBodyAccJerk_std()_X" -0.9666604036
"1673" 9 "STANDING" "fBodyAccJerk_std()_X" -0.971278823333333
"1674" 9 "LAYING" "fBodyAccJerk_std()_X" -0.9686013042
"1675" 10 "WALKING" "fBodyAccJerk_std()_X" -0.0791518267107547
"1676" 10 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.247598320858298
"1677" 10 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" 0.156912678626316
"1678" 10 "SITTING" "fBodyAccJerk_std()_X" -0.989550917407407
"1679" 10 "STANDING" "fBodyAccJerk_std()_X" -0.968612135909091
"1680" 10 "LAYING" "fBodyAccJerk_std()_X" -0.978904364137931
"1681" 11 "WALKING" "fBodyAccJerk_std()_X" -0.45394304
"1682" 11 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.458255021296296
"1683" 11 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.12834163051087
"1684" 11 "SITTING" "fBodyAccJerk_std()_X" -0.981607942075472
"1685" 11 "STANDING" "fBodyAccJerk_std()_X" -0.993414564042553
"1686" 11 "LAYING" "fBodyAccJerk_std()_X" -0.987122678245614
"1687" 12 "WALKING" "fBodyAccJerk_std()_X" -0.03105929456
"1688" 12 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.39060122
"1689" 12 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.072311431676087
"1690" 12 "SITTING" "fBodyAccJerk_std()_X" -0.977980349019608
"1691" 12 "STANDING" "fBodyAccJerk_std()_X" -0.975581439016393
"1692" 12 "LAYING" "fBodyAccJerk_std()_X" -0.972820011166667
"1693" 13 "WALKING" "fBodyAccJerk_std()_X" -0.219716159766667
"1694" 13 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.514337759454545
"1695" 13 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.114744976032191
"1696" 13 "SITTING" "fBodyAccJerk_std()_X" -0.99368217
"1697" 13 "STANDING" "fBodyAccJerk_std()_X" -0.988185112807018
"1698" 13 "LAYING" "fBodyAccJerk_std()_X" -0.98707817516129
"1699" 14 "WALKING" "fBodyAccJerk_std()_X" -0.484797709830508
"1700" 14 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.41096787037037
"1701" 14 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.0302396365755556
"1702" 14 "SITTING" "fBodyAccJerk_std()_X" -0.981920831111111
"1703" 14 "STANDING" "fBodyAccJerk_std()_X" -0.980396601666667
"1704" 14 "LAYING" "fBodyAccJerk_std()_X" -0.973491388039216
"1705" 15 "WALKING" "fBodyAccJerk_std()_X" -0.411500068148148
"1706" 15 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.207231605488542
"1707" 15 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" 0.108062740547619
"1708" 15 "SITTING" "fBodyAccJerk_std()_X" -0.989314359661017
"1709" 15 "STANDING" "fBodyAccJerk_std()_X" -0.986934133584906
"1710" 15 "LAYING" "fBodyAccJerk_std()_X" -0.983949290694444
"1711" 16 "WALKING" "fBodyAccJerk_std()_X" -0.402884115098039
"1712" 16 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.538073090196078
"1713" 16 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.125682818093191
"1714" 16 "SITTING" "fBodyAccJerk_std()_X" -0.991567867681159
"1715" 16 "STANDING" "fBodyAccJerk_std()_X" -0.991847149615385
"1716" 16 "LAYING" "fBodyAccJerk_std()_X" -0.989287359142857
"1717" 17 "WALKING" "fBodyAccJerk_std()_X" -0.343866129016393
"1718" 17 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.287219038291667
"1719" 17 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.0718767032673913
"1720" 17 "SITTING" "fBodyAccJerk_std()_X" -0.9946131621875
"1721" 17 "STANDING" "fBodyAccJerk_std()_X" -0.992775377692308
"1722" 17 "LAYING" "fBodyAccJerk_std()_X" -0.983213244366197
"1723" 18 "WALKING" "fBodyAccJerk_std()_X" -0.375992795357143
"1724" 18 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.575331252413793
"1725" 18 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.416050500909091
"1726" 18 "SITTING" "fBodyAccJerk_std()_X" -0.992039060701754
"1727" 18 "STANDING" "fBodyAccJerk_std()_X" -0.990287933424657
"1728" 18 "LAYING" "fBodyAccJerk_std()_X" -0.986641245846154
"1729" 19 "WALKING" "fBodyAccJerk_std()_X" 0.0908366492173077
"1730" 19 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.2172651781
"1731" 19 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" 0.476803887476923
"1732" 19 "SITTING" "fBodyAccJerk_std()_X" -0.988576991369863
"1733" 19 "STANDING" "fBodyAccJerk_std()_X" -0.985913722328767
"1734" 19 "LAYING" "fBodyAccJerk_std()_X" -0.985278006987952
"1735" 20 "WALKING" "fBodyAccJerk_std()_X" -0.122237205541176
"1736" 20 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.187090779486275
"1737" 20 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.147278592755556
"1738" 20 "SITTING" "fBodyAccJerk_std()_X" -0.983565760757576
"1739" 20 "STANDING" "fBodyAccJerk_std()_X" -0.963098911506849
"1740" 20 "LAYING" "fBodyAccJerk_std()_X" -0.986213883088235
"1741" 21 "WALKING" "fBodyAccJerk_std()_X" -0.107412802661538
"1742" 21 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.462972848723404
"1743" 21 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.0463867896444444
"1744" 21 "SITTING" "fBodyAccJerk_std()_X" -0.990027822470588
"1745" 21 "STANDING" "fBodyAccJerk_std()_X" -0.979530485393258
"1746" 21 "LAYING" "fBodyAccJerk_std()_X" -0.987061376777778
"1747" 22 "WALKING" "fBodyAccJerk_std()_X" 0.0180047785304348
"1748" 22 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.0677978520178571
"1749" 22 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" 0.0404618458027778
"1750" 22 "SITTING" "fBodyAccJerk_std()_X" -0.984299609032258
"1751" 22 "STANDING" "fBodyAccJerk_std()_X" -0.978773000952381
"1752" 22 "LAYING" "fBodyAccJerk_std()_X" -0.974126068055556
"1753" 23 "WALKING" "fBodyAccJerk_std()_X" -0.235172990305085
"1754" 23 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.424877553333333
"1755" 23 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" 0.0819587190574074
"1756" 23 "SITTING" "fBodyAccJerk_std()_X" -0.986019630441176
"1757" 23 "STANDING" "fBodyAccJerk_std()_X" -0.984531642205882
"1758" 23 "LAYING" "fBodyAccJerk_std()_X" -0.987840852638889
"1759" 24 "WALKING" "fBodyAccJerk_std()_X" -0.507640734482759
"1760" 24 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.527104719152542
"1761" 24 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.355930598
"1762" 24 "SITTING" "fBodyAccJerk_std()_X" -0.9892888075
"1763" 24 "STANDING" "fBodyAccJerk_std()_X" -0.981721691014493
"1764" 24 "LAYING" "fBodyAccJerk_std()_X" -0.988140517777778
"1765" 25 "WALKING" "fBodyAccJerk_std()_X" -0.624145724594595
"1766" 25 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.690213625846154
"1767" 25 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.522153341034483
"1768" 25 "SITTING" "fBodyAccJerk_std()_X" -0.992750109846154
"1769" 25 "STANDING" "fBodyAccJerk_std()_X" -0.989339890810811
"1770" 25 "LAYING" "fBodyAccJerk_std()_X" -0.976423984657534
"1771" 26 "WALKING" "fBodyAccJerk_std()_X" -0.351065957627119
"1772" 26 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.342075432
"1773" 26 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.130825898392
"1774" 26 "SITTING" "fBodyAccJerk_std()_X" -0.99329986051282
"1775" 26 "STANDING" "fBodyAccJerk_std()_X" -0.991275662027027
"1776" 26 "LAYING" "fBodyAccJerk_std()_X" -0.990410106973684
"1777" 27 "WALKING" "fBodyAccJerk_std()_X" -0.346610413333333
"1778" 27 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.47892337254902
"1779" 27 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.0522811342045455
"1780" 27 "SITTING" "fBodyAccJerk_std()_X" -0.991292270714286
"1781" 27 "STANDING" "fBodyAccJerk_std()_X" -0.98860681
"1782" 27 "LAYING" "fBodyAccJerk_std()_X" -0.987477465405405
"1783" 28 "WALKING" "fBodyAccJerk_std()_X" -0.367116416481481
"1784" 28 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.37027368
"1785" 28 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.0980112293695652
"1786" 28 "SITTING" "fBodyAccJerk_std()_X" -0.977786782222222
"1787" 28 "STANDING" "fBodyAccJerk_std()_X" -0.971672796708861
"1788" 28 "LAYING" "fBodyAccJerk_std()_X" -0.98220590125
"1789" 29 "WALKING" "fBodyAccJerk_std()_X" -0.307336669773585
"1790" 29 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.211385397877551
"1791" 29 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.0986379156229167
"1792" 29 "SITTING" "fBodyAccJerk_std()_X" -0.9942201755
"1793" 29 "STANDING" "fBodyAccJerk_std()_X" -0.994123423538462
"1794" 29 "LAYING" "fBodyAccJerk_std()_X" -0.99254347826087
"1795" 30 "WALKING" "fBodyAccJerk_std()_X" -0.415135398
"1796" 30 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_X" -0.561565206615385
"1797" 30 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_X" -0.289802729403226
"1798" 30 "SITTING" "fBodyAccJerk_std()_X" -0.990017564516129
"1799" 30 "STANDING" "fBodyAccJerk_std()_X" -0.972216728644068
"1800" 30 "LAYING" "fBodyAccJerk_std()_X" -0.980350748142857
"1801" 1 "WALKING" "fBodyAccJerk_std()_Y" 0.106739857136
"1802" 1 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_Y" -0.381777065283019
"1803" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_Y" -0.134580008877551
"1804" 1 "SITTING" "fBodyAccJerk_std()_Y" -0.982513909574468
"1805" 1 "STANDING" "fBodyAccJerk_std()_Y" -0.987018226792453
"1806" 1 "LAYING" "fBodyAccJerk_std()_Y" -0.9322178704
"1807" 2 "WALKING" "fBodyAccJerk_std()_Y" -0.0153329520084746
"1808" 2 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_Y" -0.243554146666667
"1809" 2 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_Y" 0.0808333491276596
"1810" 2 "SITTING" "fBodyAccJerk_std()_Y" -0.980804228478261
"1811" 2 "STANDING" "fBodyAccJerk_std()_Y" -0.973520241111111
"1812" 2 "LAYING" "fBodyAccJerk_std()_Y" -0.984987392916667
"1813" 3 "WALKING" "fBodyAccJerk_std()_Y" -0.00561498755362069
"1814" 3 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_Y" -0.268191523644068
"1815" 3 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_Y" -0.14772824006198
"1816" 3 "SITTING" "fBodyAccJerk_std()_Y" -0.956461756730769
"1817" 3 "STANDING" "fBodyAccJerk_std()_Y" -0.943948547213115
"1818" 3 "LAYING" "fBodyAccJerk_std()_Y" -0.971044012741936
"1819" 4 "WALKING" "fBodyAccJerk_std()_Y" -0.2099000063
"1820" 4 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_Y" -0.314525030788462
"1821" 4 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_Y" -0.177202094317778
"1822" 4 "SITTING" "fBodyAccJerk_std()_Y" -0.949293158
"1823" 4 "STANDING" "fBodyAccJerk_std()_Y" -0.944075308928571
"1824" 4 "LAYING" "fBodyAccJerk_std()_Y" -0.944366881666667
"1825" 5 "WALKING" "fBodyAccJerk_std()_Y" -0.0545213604089286
"1826" 5 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_Y" -0.105311152804255
"1827" 5 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_Y" 0.0901720096791489
"1828" 5 "SITTING" "fBodyAccJerk_std()_Y" -0.954464442045455
"1829" 5 "STANDING" "fBodyAccJerk_std()_Y" -0.936202600714286
"1830" 5 "LAYING" "fBodyAccJerk_std()_Y" -0.96624258
"1831" 6 "WALKING" "fBodyAccJerk_std()_Y" 0.0314450678263158
"1832" 6 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_Y" -0.0169811409705882
"1833" 6 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_Y" 0.341242392604167
"1834" 6 "SITTING" "fBodyAccJerk_std()_Y" -0.946880042
"1835" 6 "STANDING" "fBodyAccJerk_std()_Y" -0.950681450350877
"1836" 6 "LAYING" "fBodyAccJerk_std()_Y" -0.935717452807018
"1837" 7 "WALKING" "fBodyAccJerk_std()_Y" -0.0431917460807018
"1838" 7 "WALKING_UPSTAIRS" "fBodyAccJerk_std()_Y" -0.53419130254902
"1839" 7 "WALKING_DOWNSTAIRS" "fBodyAccJerk_std()_Y" -0.324378560319149
